filename,width,height,class,xmin,ymin,xmax,ymax,class_int
paper133.jpg,512,384,kertas,19,0,512,384,1
glass41.jpg,512,384,cup,167,84,396,333,5
plastic36.jpg,512,384,botol,29,49,473,351,7
metal30.jpg,512,384,kaleng,173,0,352,371,6
15.jpg,1477,1108,piring,278,206,1244,952,2
biological133.jpg,265,190,sampah_organik,142,20,256,150,3
paper71.jpg,512,384,kertas,133,121,310,274,1
metal99.jpg,512,384,kaleng,127,53,465,384,6
paper194.jpg,512,384,kertas,0,1,445,384,1
cardboard138.jpg,512,384,kardus,0,0,512,384,4
plastic57.jpg,512,384,botol,170,69,486,384,7
8.jpg,1477,1108,piring,751,188,1265,546,2
18.jpg,1477,1108,piring,197,168,1378,698,2
biological118.jpg,275,183,sampah_organik,43,12,256,172,3
(17).jpg,193,206,kantong,22,43,164,149,0
4.jpg,275,183,piring,65,25,198,156,2
(592).jpg,180,180,kantong,44,18,138,165,0
biological123.jpg,267,189,sampah_organik,20,1,253,189,3
cardboard80.jpg,512,384,kardus,0,0,512,384,4
glass71.jpg,512,384,cup,180,14,356,337,5
metal38.jpg,512,384,kaleng,40,60,342,299,6
biological105.jpg,276,183,sampah_organik,31,5,244,175,3
plastic49.jpg,512,384,botol,32,104,466,274,7
metal281.jpg,512,384,kaleng,16,8,485,383,6
cardboard25.jpg,512,384,kardus,0,0,512,384,4
trash87.jpg,512,384,cup,72,43,377,375,5
plastic74.jpg,512,384,botol,104,0,473,384,7
cardboard256.jpg,512,384,kardus,0,0,512,384,4
plastic62.jpg,512,384,botol,118,22,397,384,7
(6).jpg,299,168,kantong,83,11,213,140,0
20.jpg,1477,1108,piring,371,233,1026,861,2
biological84.jpg,240,210,sampah_organik,6,63,237,208,3
19.jpg,1477,1108,piring,302,146,1366,952,2
(310).jpg,275,184,kertas,75,18,200,166,1
paper192.jpg,512,384,kertas,5,0,460,326,1
metal32.jpg,512,384,kaleng,128,45,357,271,6
plastic51.jpg,512,384,botol,34,97,327,384,7
plastic14.jpg,512,384,botol,52,0,443,304,7
(8).jpg,312,163,kantong,40,57,189,162,0
metal66.jpg,512,384,kaleng,151,116,393,384,6
plastic32.jpg,512,384,botol,102,0,432,368,7
23.jpg,1477,1108,piring,644,443,1275,1027,2
metal92.jpg,512,384,kaleng,170,78,339,254,6
cardboard180.jpg,512,384,kardus,0,32,454,384,4
metal396.jpg,512,384,kaleng,63,141,512,384,6
(28).jpg,203,203,kantong,25,8,171,193,0
cardboard251.jpg,512,384,kardus,0,0,512,384,4
paper190.jpg,512,384,kertas,0,0,511,321,1
13.jpg,1477,1108,piring,357,404,1267,971,2
glass52.jpg,512,384,cup,6,64,344,336,5
paper1.jpg,512,384,kertas,73,30,434,334,1
cardboard79.jpg,512,384,kardus,0,0,512,384,4
paper134.jpg,512,384,kertas,17,26,506,376,1
cardboard26.jpg,512,384,kardus,0,0,512,384,4
metal64.jpg,512,384,kaleng,0,34,376,359,6
trash2.jpg,512,384,cup,145,83,427,277,5
trash50.jpg,512,384,cup,176,124,434,359,5
cardboard231.jpg,512,384,kardus,0,0,512,384,4
(9).jpg,334,152,kantong,68,39,267,106,0
plastic73.jpg,512,384,botol,182,46,342,384,7
plastic38.jpg,512,384,botol,134,77,512,384,7
biological108.jpg,275,183,sampah_organik,39,38,226,155,3
biological110.jpg,262,192,sampah_organik,45,25,209,136,3
paper130.jpg,512,384,kertas,48,55,414,327,1
metal70.jpg,512,384,kaleng,64,119,437,315,6
plastic34.jpg,512,384,botol,228,0,364,253,7
(7).jpg,280,168,kantong,41,32,235,155,0
9.jpg,1477,1108,piring,102,135,632,427,2
cardboard225.jpg,512,384,kardus,0,0,512,384,4
7.jpg,1477,1108,piring,446,241,1002,805,2
(594).jpg,170,180,kantong,7,17,166,169,0
paper2.jpg,512,384,kertas,2,34,441,382,1
biological114.jpg,259,194,sampah_organik,44,2,246,175,3
12.jpg,1477,1108,piring,88,22,848,746,2
cardboard55.jpg,512,384,kardus,0,0,512,384,4
16.jpg,1477,1108,piring,189,170,1259,720,2
cardboard146.jpg,512,384,kardus,13,0,439,384,4
plastic21.jpg,512,384,botol,77,97,512,310,7
glass87.jpg,512,384,cup,142,124,446,306,5
5.jpg,225,225,piring,15,18,218,208,2
(11).jpg,223,164,kantong,58,39,176,137,0
cardboard147.jpg,512,384,kardus,0,0,414,384,4
trash35.jpg,512,384,cup,159,39,408,284,5
biological115.jpg,225,225,sampah_organik,7,13,216,212,3
biological104.jpg,275,183,sampah_organik,21,39,264,171,3
(24).jpg,215,215,kantong,19,21,197,209,0
metal10.jpg,512,384,kaleng,248,1,512,384,6
paper191.jpg,512,384,kertas,23,0,458,384,1
metal106.jpg,512,384,kaleng,118,110,445,384,6
cardboard226.jpg,512,384,kardus,0,0,512,384,4
plastic80.jpg,512,384,botol,62,80,479,323,7
paper75.jpg,512,384,kertas,95,87,331,316,1
metal26.jpg,512,384,kaleng,112,32,450,371,6
biological99.jpg,275,183,sampah_organik,1,1,275,183,3
(12).jpg,164,164,kantong,25,26,104,148,0
trash69.jpg,512,384,cup,87,40,359,309,5
(31).jpg,249,183,kantong,0,12,180,166,0
paper132.jpg,512,384,kertas,85,0,333,329,1
22.jpg,1477,1108,piring,688,71,1305,645,2
cardboard22.jpg,512,384,kardus,0,0,512,384,4
(27).jpg,199,199,kantong,60,29,150,166,0
glass123.jpg,512,384,cup,52,0,435,254,5
24.jpg,1477,1108,piring,177,433,840,1068,2
3.jpg,500,500,piring,32,38,462,472,2
metal54.jpg,512,384,kaleng,28,0,482,383,6
metal405.jpg,512,384,kaleng,235,35,512,384,6
metal41.jpg,512,384,kaleng,144,139,385,384,6
(10).jpg,260,164,kantong,64,21,188,155,0
cardboard4.jpg,512,384,kardus,0,0,512,384,4
metal58.jpg,512,384,kaleng,169,106,489,384,6
cardboard149.jpg,512,384,kardus,0,0,442,384,4
(18).jpg,206,206,kantong,16,75,126,192,0
biological128.jpg,259,194,sampah_organik,27,1,233,194,3
2.jpg,1000,1000,piring,35,117,606,485,2
biological113.jpg,288,175,sampah_organik,0,0,288,175,3
paper72.jpg,512,384,kertas,29,3,440,378,1
plastic75.jpg,512,384,botol,141,0,434,302,7
cardboard13.jpg,512,384,kardus,0,0,512,384,4
paper193.jpg,512,384,kertas,66,-1,512,384,1
trash60.jpg,512,384,cup,132,37,350,296,5
glass110.jpg,512,384,cup,105,59,379,384,5
paper131.jpg,512,384,kertas,0,0,448,383,1
glass6.jpg,512,384,cup,195,62,320,279,5
(595).jpg,294,172,kantong,93,1,195,151,0
plastic8.jpg,512,384,botol,137,51,422,331,7
metal13.jpg,512,384,kaleng,257,47,512,384,6
1.jpg,194,259,piring,0,72,191,232,2
6.jpg,1477,1108,piring,341,313,1089,663,2
paper4.jpg,512,384,kertas,77,14,452,355,1
biological106.jpg,268,188,sampah_organik,39,27,225,154,3
metal1.jpg,512,384,kaleng,0,0,313,284,6
biological88.jpg,219,230,sampah_organik,9,53,212,178,3
paper73.jpg,512,384,kertas,2,2,506,381,1
14.jpg,1477,1108,piring,5,89,862,520,2
10.jpg,1477,1108,piring,280,162,969,847,2
